age,job,marital,education,default,housing,loan
Adult,blue-collar,married,basic,no,yes,no
Adult,retired,married,professional course,no,no,no
young adult,admin.,single,university degree,no,no,no
Adult,unemployed,married,basic,unknown,unknown,unknown
Adult,blue-collar,single,basic,no,no,yes
Adult,services,married,high school,unknown,yes,no
Adult,admin.,divorced,basic,no,no,no
young adult,blue-collar,single,basic,unknown,no,no
Adult,management,married,university degree,no,yes,no
young adult,blue-collar,single,basic,unknown,yes,no
young adult,blue-collar,single,basic,unknown,yes,no
Adult,self-employed,married,basic,unknown,yes,no
Adult,blue-collar,single,basic,unknown,no,yes
young adult,unemployed,married,basic,no,no,no
Adult,blue-collar,married,basic,no,no,yes
Adult,blue-collar,married,basic,no,no,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,unknown,married,unknown,no,yes,no
young adult,blue-collar,single,basic,unknown,no,no
Adult,blue-collar,married,basic,no,yes,yes
Adult,blue-collar,single,high school,no,yes,no
Adult,admin.,single,high school,no,no,no
Adult,blue-collar,married,basic,unknown,yes,yes
Adult,admin.,married,unknown,no,no,no
Adult,admin.,married,university degree,unknown,yes,no
Adult,management,divorced,university degree,no,no,no
young adult,student,single,basic,no,no,no
Adult,blue-collar,married,unknown,unknown,yes,yes
Adult,blue-collar,married,unknown,unknown,yes,no
Adult,retired,divorced,university degree,no,yes,no
Adult,services,single,professional course,no,yes,no
Adult,services,single,high school,unknown,yes,no
Adult,technician,married,professional course,unknown,yes,no
young adult,technician,single,professional course,no,no,no
Adult,technician,single,professional course,no,no,no
Adult,technician,married,unknown,unknown,no,no
Adult,services,single,professional course,no,no,no
young adult,blue-collar,single,basic,no,no,yes
young adult,blue-collar,married,basic,unknown,no,no
Adult,technician,married,professional course,no,yes,no
Adult,blue-collar,married,professional course,unknown,no,yes
Adult,housemaid,married,high school,unknown,no,no
Adult,admin.,single,unknown,no,yes,no
Adult,blue-collar,married,basic,no,no,no
Adult,management,married,university degree,unknown,no,no
young adult,services,single,high school,no,no,no
Adult,management,married,university degree,unknown,no,yes
young adult,entrepreneur,married,university degree,no,no,no
young adult,blue-collar,married,basic,no,no,no
Adult,admin.,married,high school,unknown,no,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,blue-collar,single,basic,no,no,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,admin.,married,university degree,no,no,no
Adult,technician,single,professional course,no,no,no
Adult,entrepreneur,married,basic,unknown,no,no
young adult,admin.,divorced,high school,no,no,yes
Adult,blue-collar,married,basic,unknown,no,yes
Adult,student,single,university degree,no,no,no
Adult,management,married,university degree,no,no,yes
Adult,technician,married,professional course,no,yes,no
Adult,management,married,basic,no,yes,no
Adult,admin.,married,university degree,no,yes,no
Adult,admin.,divorced,high school,no,yes,no
young adult,admin.,married,university degree,no,yes,no
Adult,unemployed,married,professional course,no,no,no
Adult,admin.,divorced,university degree,no,yes,yes
Adult,management,married,basic,unknown,no,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,blue-collar,married,basic,no,yes,no
Adult,admin.,married,university degree,no,yes,no
young adult,technician,married,university degree,no,no,yes
Adult,blue-collar,married,basic,no,unknown,unknown
young adult,technician,single,university degree,no,yes,no
Adult,admin.,married,university degree,unknown,yes,no
young adult,unemployed,single,basic,no,no,yes
Adult,admin.,married,university degree,no,yes,no
Adult,blue-collar,divorced,basic,unknown,no,no
Adult,technician,single,university degree,no,no,no
Adult,technician,married,university degree,no,yes,no
Adult,admin.,married,basic,no,yes,yes
young adult,technician,single,professional course,no,yes,no
Adult,blue-collar,married,basic,no,yes,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,admin.,married,high school,no,yes,yes
Adult,technician,married,professional course,unknown,no,no
Adult,services,married,high school,unknown,yes,no
Adult,management,married,basic,no,no,yes
Adult,unemployed,married,university degree,no,no,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,admin.,married,university degree,unknown,yes,no
Adult,self-employed,married,basic,no,no,no
Adult,student,single,unknown,unknown,yes,no
Adult,blue-collar,divorced,basic,no,no,no
Adult,technician,married,university degree,no,yes,no
Adult,blue-collar,single,basic,unknown,no,no
Adult,services,married,high school,no,no,no
Adult,admin.,married,basic,no,no,no
Adult,admin.,divorced,high school,no,no,no
Adult,admin.,married,university degree,no,yes,no
young adult,technician,single,university degree,no,yes,no
Adult,technician,single,unknown,unknown,no,no
Adult,self-employed,married,university degree,unknown,yes,yes
Adult,blue-collar,married,basic,no,yes,no
Adult,management,married,university degree,no,no,yes
Adult,self-employed,married,basic,unknown,no,no
young adult,technician,single,professional course,no,yes,yes
young adult,blue-collar,married,basic,no,no,no
Elderly,entrepreneur,married,basic,no,unknown,unknown
Adult,entrepreneur,married,high school,unknown,no,no
Adult,admin.,married,university degree,no,no,no
Adult,retired,divorced,professional course,no,yes,no
Adult,blue-collar,married,unknown,no,no,no
Adult,admin.,married,high school,no,yes,no
young adult,unemployed,single,professional course,no,no,no
Adult,admin.,married,university degree,no,yes,no
Adult,services,single,high school,unknown,yes,no
Adult,management,married,university degree,no,no,no
Adult,admin.,single,high school,no,no,no
Adult,admin.,divorced,university degree,no,yes,no
Adult,blue-collar,married,unknown,unknown,no,no
Adult,technician,divorced,professional course,no,yes,no
Adult,technician,married,university degree,no,yes,no
Adult,admin.,married,high school,unknown,yes,yes
Adult,blue-collar,married,basic,no,no,no
Adult,blue-collar,married,basic,no,yes,no
Adult,blue-collar,married,basic,no,yes,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,management,unknown,high school,no,no,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,retired,married,basic,unknown,yes,no
Adult,admin.,single,high school,no,no,no
Adult,blue-collar,married,basic,unknown,no,yes
young adult,technician,single,professional course,no,no,no
Adult,technician,married,basic,unknown,no,no
Adult,blue-collar,divorced,basic,no,yes,no
Adult,admin.,single,university degree,no,no,no
Adult,management,married,university degree,no,yes,no
Adult,retired,married,basic,unknown,no,no
Adult,services,married,high school,no,unknown,unknown
Adult,blue-collar,married,basic,unknown,no,no
Adult,technician,married,university degree,no,no,no
Adult,services,married,high school,no,no,no
Adult,admin.,married,university degree,no,no,no
Adult,technician,married,professional course,no,no,no
Adult,blue-collar,married,high school,unknown,no,no
Adult,blue-collar,married,basic,unknown,no,no
young adult,admin.,single,high school,no,no,yes
Adult,blue-collar,married,high school,no,yes,yes
Adult,entrepreneur,married,basic,no,no,yes
young adult,student,single,basic,unknown,yes,no
Adult,unemployed,married,basic,unknown,no,no
Adult,blue-collar,married,basic,no,unknown,unknown
Adult,retired,single,high school,no,yes,no
Adult,technician,married,high school,no,no,no
Adult,admin.,single,high school,no,yes,no
Adult,admin.,single,high school,no,no,yes
Adult,blue-collar,married,basic,no,yes,no
Adult,technician,married,professional course,no,yes,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,blue-collar,married,basic,no,no,no
Adult,management,married,professional course,no,no,no
Adult,services,married,high school,unknown,yes,no
Adult,blue-collar,divorced,basic,unknown,yes,no
Adult,services,single,high school,no,yes,no
Adult,blue-collar,married,basic,no,yes,no
Adult,admin.,divorced,university degree,no,no,no
Adult,blue-collar,single,basic,no,yes,no
Adult,services,married,high school,no,unknown,unknown
young adult,unemployed,single,university degree,no,no,no
Adult,self-employed,divorced,unknown,no,yes,no
Adult,blue-collar,married,basic,no,yes,no
Adult,blue-collar,single,basic,unknown,yes,yes
Adult,self-employed,married,basic,no,yes,yes
Adult,unemployed,married,high school,unknown,no,no
Adult,services,married,basic,unknown,no,yes
Adult,entrepreneur,married,basic,unknown,no,no
Adult,entrepreneur,married,high school,no,no,no
Adult,admin.,married,university degree,no,yes,no
young adult,blue-collar,single,basic,no,no,yes
Adult,technician,married,university degree,no,yes,no
Adult,entrepreneur,married,university degree,no,yes,no
Adult,blue-collar,divorced,basic,no,yes,no
Adult,blue-collar,married,high school,no,no,yes
Adult,admin.,married,basic,unknown,yes,no
Adult,blue-collar,single,university degree,no,yes,yes
Adult,admin.,married,unknown,no,no,no
Adult,technician,married,professional course,no,yes,no
Adult,services,married,high school,no,no,yes
Adult,unemployed,divorced,high school,unknown,yes,yes
Adult,services,married,high school,no,yes,no
Adult,entrepreneur,married,university degree,no,yes,yes
Adult,self-employed,single,high school,no,yes,no
Adult,management,married,basic,no,no,no
Adult,services,married,high school,no,yes,no
Adult,admin.,single,high school,no,no,yes
Adult,technician,single,professional course,no,yes,no
young adult,services,divorced,basic,no,yes,no
Adult,technician,married,professional course,no,no,yes
Adult,unemployed,married,basic,unknown,yes,no
Adult,admin.,married,university degree,no,no,no
Adult,services,divorced,high school,no,no,no
Adult,management,married,university degree,no,no,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,admin.,single,basic,no,no,no
Adult,technician,divorced,professional course,unknown,no,yes
Adult,blue-collar,married,high school,no,no,no
young adult,admin.,single,high school,no,yes,no
Adult,management,married,high school,unknown,no,yes
Adult,management,married,university degree,unknown,no,no
Adult,services,married,basic,unknown,no,no
Adult,admin.,single,unknown,no,no,no
Adult,technician,married,high school,no,no,no
Adult,management,divorced,university degree,no,no,no
young adult,blue-collar,single,high school,no,yes,no
Adult,admin.,married,university degree,no,yes,no
Adult,management,single,university degree,unknown,yes,no
Adult,admin.,married,high school,no,no,no
Adult,retired,married,unknown,unknown,yes,no
Adult,admin.,single,university degree,unknown,no,no
Adult,blue-collar,married,basic,unknown,unknown,unknown
young adult,admin.,single,high school,no,no,no
Adult,blue-collar,married,basic,unknown,yes,yes
Adult,admin.,divorced,high school,no,yes,no
Adult,blue-collar,married,basic,unknown,yes,yes
Adult,blue-collar,married,basic,unknown,no,no
Adult,technician,married,university degree,no,yes,no
Adult,admin.,single,basic,unknown,no,no
Adult,retired,divorced,basic,no,yes,no
Adult,self-employed,single,university degree,no,no,no
Adult,technician,single,professional course,no,yes,no
young adult,blue-collar,single,basic,no,no,no
Adult,housemaid,divorced,basic,unknown,no,no
Adult,admin.,married,university degree,no,yes,no
young adult,housemaid,single,basic,no,no,no
Adult,management,married,university degree,no,no,no
young adult,services,single,high school,no,yes,no
Adult,admin.,divorced,university degree,no,no,no
Adult,admin.,married,high school,no,no,no
young adult,admin.,single,university degree,no,yes,no
Adult,admin.,single,university degree,no,yes,no
Adult,blue-collar,married,basic,no,no,no
Adult,blue-collar,married,basic,unknown,yes,no
young adult,student,single,high school,no,unknown,unknown
Adult,admin.,married,unknown,no,yes,no
Adult,admin.,married,university degree,no,yes,no
Adult,blue-collar,married,high school,no,no,no
Adult,admin.,married,high school,no,no,no
Adult,technician,married,professional course,unknown,yes,no
Adult,blue-collar,married,basic,no,no,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,admin.,divorced,basic,no,yes,no
Adult,management,divorced,university degree,no,no,no
Adult,technician,married,professional course,no,yes,no
Adult,blue-collar,single,basic,no,yes,no
Adult,blue-collar,divorced,unknown,unknown,yes,no
Elderly,entrepreneur,married,basic,no,no,no
Adult,technician,married,professional course,no,no,yes
young adult,blue-collar,single,basic,no,no,no
Adult,blue-collar,married,basic,unknown,unknown,unknown
young adult,housemaid,single,high school,no,no,no
Adult,technician,married,professional course,no,yes,no
Adult,housemaid,married,basic,no,no,no
Adult,blue-collar,married,basic,no,no,no
Adult,blue-collar,married,high school,unknown,no,no
Adult,blue-collar,single,basic,unknown,no,no
young adult,services,married,high school,no,no,no
Adult,blue-collar,married,basic,no,no,no
Adult,blue-collar,married,basic,no,no,no
Adult,retired,married,high school,unknown,yes,no
young adult,student,single,unknown,unknown,no,no
Adult,technician,married,professional course,no,no,no
Adult,admin.,married,university degree,no,no,no
young adult,management,married,high school,unknown,no,no
Adult,blue-collar,single,basic,unknown,unknown,unknown
Adult,technician,single,university degree,no,no,no
Adult,technician,divorced,professional course,no,yes,no
young adult,blue-collar,single,high school,unknown,no,no
Adult,entrepreneur,married,university degree,no,no,no
Adult,blue-collar,divorced,basic,unknown,yes,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,management,divorced,university degree,no,yes,no
Adult,services,married,high school,no,yes,no
Adult,admin.,divorced,university degree,no,yes,no
Adult,management,married,professional course,no,no,no
Adult,technician,single,high school,no,yes,no
Adult,technician,single,university degree,no,yes,no
Adult,blue-collar,married,basic,no,yes,no
Adult,technician,married,unknown,unknown,no,yes
Adult,blue-collar,married,basic,unknown,no,no
Adult,admin.,married,high school,no,yes,no
Adult,services,married,high school,unknown,yes,no
Adult,blue-collar,married,basic,no,yes,no
Adult,admin.,married,university degree,unknown,no,no
young adult,entrepreneur,married,basic,no,no,no
Adult,technician,married,professional course,unknown,yes,no
Adult,blue-collar,married,basic,unknown,no,yes
Adult,services,married,high school,unknown,yes,no
young adult,blue-collar,single,basic,no,no,no
Adult,blue-collar,single,basic,unknown,yes,no
Adult,admin.,married,university degree,no,no,no
Adult,services,divorced,unknown,unknown,yes,yes
Adult,self-employed,single,basic,unknown,yes,no
Adult,entrepreneur,married,high school,no,yes,no
young adult,admin.,single,high school,no,yes,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,management,married,university degree,no,no,no
Adult,services,married,high school,unknown,no,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,blue-collar,married,basic,no,no,no
Adult,management,married,university degree,no,yes,yes
Adult,admin.,divorced,high school,no,yes,no
Adult,management,married,university degree,no,no,no
young adult,services,married,high school,no,no,yes
Adult,unemployed,married,basic,unknown,no,no
young adult,admin.,single,university degree,no,yes,no
young adult,blue-collar,single,high school,no,yes,no
Adult,blue-collar,divorced,basic,unknown,no,no
Adult,admin.,married,high school,no,yes,yes
Adult,services,married,high school,no,no,yes
Adult,management,married,university degree,no,unknown,unknown
Adult,entrepreneur,married,university degree,no,no,yes
Adult,blue-collar,married,basic,unknown,yes,no
Adult,admin.,married,university degree,no,yes,no
young adult,services,married,high school,no,yes,no
young adult,admin.,married,university degree,no,no,no
Adult,housemaid,married,high school,no,no,no
young adult,admin.,single,high school,no,no,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,retired,married,professional course,unknown,no,no
Adult,admin.,married,high school,no,yes,yes
Adult,admin.,divorced,basic,unknown,yes,no
Adult,admin.,married,university degree,no,yes,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,retired,divorced,basic,unknown,yes,no
Adult,blue-collar,single,basic,unknown,no,no
young adult,blue-collar,single,basic,no,yes,no
Adult,services,married,professional course,no,yes,no
Adult,blue-collar,married,basic,no,yes,no
Adult,technician,married,high school,unknown,yes,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,services,single,basic,no,yes,no
Adult,self-employed,single,professional course,unknown,no,no
Adult,admin.,single,high school,no,yes,no
Adult,blue-collar,married,basic,no,no,no
young adult,blue-collar,single,basic,no,no,no
Adult,housemaid,married,basic,no,no,no
Adult,blue-collar,single,university degree,unknown,no,no
Adult,admin.,single,basic,no,yes,no
Adult,blue-collar,single,basic,no,yes,no
Adult,technician,married,professional course,no,no,yes
Adult,admin.,single,basic,no,yes,no
young adult,technician,married,university degree,no,no,no
young adult,admin.,single,university degree,no,yes,no
Adult,self-employed,married,professional course,no,no,no
Adult,technician,married,university degree,no,yes,no
Adult,services,married,basic,unknown,no,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,blue-collar,married,basic,no,no,no
young adult,blue-collar,single,unknown,no,no,no
Adult,management,married,university degree,no,no,no
Adult,retired,married,basic,unknown,no,no
Adult,management,married,university degree,no,yes,no
young adult,admin.,married,high school,no,yes,no
Adult,blue-collar,divorced,basic,unknown,yes,yes
Adult,services,divorced,high school,no,no,no
young adult,student,single,high school,no,no,no
Adult,blue-collar,single,basic,no,yes,no
young adult,services,single,basic,no,no,no
Adult,admin.,single,university degree,no,yes,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,technician,married,professional course,no,no,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,admin.,single,university degree,no,no,yes
young adult,services,single,high school,no,no,no
Adult,unknown,married,basic,unknown,no,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,admin.,married,university degree,no,no,no
Adult,technician,divorced,basic,unknown,no,no
young adult,admin.,single,university degree,unknown,no,no
Adult,technician,married,basic,no,no,no
Adult,services,divorced,high school,unknown,yes,no
Adult,services,married,basic,no,no,no
young adult,technician,single,professional course,no,no,no
Adult,services,married,university degree,no,no,no
Adult,admin.,married,basic,unknown,yes,no
young adult,services,single,high school,no,yes,no
Adult,blue-collar,married,basic,no,no,no
Adult,admin.,divorced,university degree,no,no,no
Adult,admin.,married,university degree,no,yes,no
Adult,blue-collar,married,basic,no,no,no
Adult,admin.,married,university degree,no,yes,no
Adult,management,married,university degree,no,no,no
Adult,admin.,married,high school,unknown,yes,no
Adult,housemaid,married,high school,no,yes,no
Adult,housemaid,divorced,high school,no,yes,no
Adult,self-employed,married,high school,no,yes,no
Adult,housemaid,married,high school,no,no,no
young adult,services,married,basic,unknown,no,no
Adult,management,married,university degree,no,no,no
young adult,blue-collar,married,basic,no,yes,no
Adult,management,married,unknown,no,no,no
Adult,services,married,high school,unknown,yes,no
Adult,technician,married,university degree,no,no,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,admin.,married,basic,no,no,no
Adult,management,married,unknown,no,no,no
Adult,admin.,married,university degree,no,no,no
young adult,unemployed,single,high school,no,no,no
Adult,services,divorced,basic,unknown,unknown,unknown
Adult,housemaid,married,basic,no,no,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,technician,married,high school,no,yes,no
Adult,blue-collar,divorced,basic,unknown,no,no
Adult,technician,married,high school,unknown,no,no
Adult,admin.,single,university degree,no,no,no
Adult,admin.,divorced,high school,no,yes,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,technician,married,basic,no,no,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,management,married,university degree,no,yes,no
Adult,admin.,divorced,professional course,no,no,no
Adult,student,single,high school,no,no,yes
Adult,management,married,basic,unknown,unknown,unknown
Adult,technician,married,high school,no,no,no
Adult,blue-collar,married,professional course,no,yes,no
Adult,retired,married,basic,unknown,no,no
Adult,technician,married,professional course,no,no,no
Adult,services,single,high school,no,no,no
Adult,services,single,basic,no,yes,no
Adult,housemaid,married,university degree,unknown,no,no
Adult,blue-collar,married,professional course,no,no,no
Adult,admin.,married,university degree,no,no,no
Adult,admin.,single,university degree,no,yes,no
Adult,admin.,married,university degree,no,yes,no
Adult,admin.,married,high school,no,yes,yes
young adult,management,single,university degree,no,yes,no
Adult,admin.,single,university degree,no,yes,no
Adult,blue-collar,married,basic,no,yes,yes
Adult,blue-collar,married,basic,no,yes,no
young adult,blue-collar,single,basic,no,yes,no
young adult,admin.,single,university degree,no,yes,no
Adult,technician,single,university degree,unknown,yes,no
Adult,retired,married,basic,unknown,no,no
Adult,technician,divorced,professional course,no,yes,no
Adult,admin.,married,university degree,no,yes,no
Adult,services,single,high school,no,no,no
young adult,services,single,basic,no,yes,no
young adult,blue-collar,married,basic,no,yes,no
Adult,blue-collar,married,basic,no,yes,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,entrepreneur,married,basic,no,no,no
Adult,blue-collar,married,basic,no,no,no
Adult,services,married,high school,no,no,no
Adult,technician,married,basic,unknown,yes,no
young adult,admin.,single,university degree,no,yes,no
Adult,blue-collar,single,basic,no,yes,no
Adult,unknown,married,unknown,unknown,yes,no
Adult,management,single,university degree,no,no,yes
Adult,blue-collar,married,basic,no,no,yes
Adult,admin.,divorced,university degree,no,yes,no
Adult,blue-collar,divorced,basic,no,unknown,unknown
Adult,entrepreneur,divorced,high school,unknown,yes,no
young adult,services,single,university degree,no,no,no
Adult,self-employed,married,basic,no,yes,no
Adult,admin.,single,high school,unknown,yes,no
Adult,retired,married,university degree,no,yes,yes
Adult,blue-collar,married,basic,no,no,no
Adult,technician,single,professional course,unknown,yes,yes
Adult,blue-collar,married,basic,unknown,yes,yes
Adult,technician,married,basic,no,yes,no
Adult,technician,married,university degree,no,no,no
Adult,technician,married,professional course,unknown,yes,no
Adult,self-employed,single,high school,no,yes,yes
Adult,admin.,married,high school,no,no,no
Adult,blue-collar,married,high school,no,yes,no
young adult,services,single,high school,no,yes,yes
young adult,blue-collar,divorced,unknown,no,yes,no
Adult,blue-collar,divorced,basic,unknown,no,no
Adult,services,married,high school,no,no,no
Adult,blue-collar,married,basic,unknown,yes,yes
Adult,services,married,high school,no,no,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,technician,married,high school,no,no,no
Adult,technician,married,basic,no,no,no
Adult,management,single,university degree,no,no,no
young adult,admin.,married,high school,no,yes,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,self-employed,single,basic,unknown,yes,no
Adult,entrepreneur,married,university degree,unknown,yes,no
Adult,self-employed,single,university degree,no,yes,no
Adult,admin.,divorced,professional course,no,yes,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,management,married,university degree,no,yes,no
Adult,management,married,university degree,no,no,no
young adult,admin.,married,high school,no,yes,no
Adult,entrepreneur,married,university degree,no,yes,no
Elderly,retired,married,basic,unknown,yes,no
Adult,admin.,married,high school,no,no,yes
Adult,entrepreneur,married,basic,no,no,no
Adult,self-employed,married,high school,unknown,no,no
Adult,services,divorced,high school,no,yes,yes
young adult,services,married,basic,no,no,no
Adult,admin.,married,high school,no,yes,no
Adult,blue-collar,married,basic,no,yes,no
Adult,technician,married,university degree,unknown,yes,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,management,married,high school,no,no,no
Adult,blue-collar,divorced,basic,no,yes,no
Adult,management,married,high school,no,yes,no
Adult,admin.,married,university degree,unknown,no,no
Adult,services,married,high school,no,no,yes
Adult,admin.,married,basic,no,no,no
Adult,technician,married,professional course,unknown,no,no
Adult,admin.,married,university degree,no,no,no
Adult,blue-collar,married,basic,unknown,no,yes
young adult,admin.,single,high school,no,no,no
Adult,blue-collar,married,basic,no,no,yes
Adult,blue-collar,married,basic,no,no,no
Adult,retired,married,high school,no,no,no
young adult,student,single,university degree,no,yes,yes
Adult,blue-collar,married,basic,no,yes,no
Adult,admin.,single,university degree,no,no,no
Adult,admin.,divorced,university degree,unknown,no,no
Adult,admin.,married,university degree,no,no,no
young adult,services,single,basic,no,yes,no
Adult,blue-collar,married,unknown,unknown,no,no
Adult,blue-collar,married,basic,no,no,no
Adult,self-employed,married,university degree,no,yes,no
Adult,services,married,basic,no,yes,no
Adult,admin.,married,professional course,no,no,no
Adult,self-employed,married,university degree,no,yes,no
young adult,student,single,high school,unknown,yes,yes
Adult,admin.,single,university degree,unknown,no,yes
young adult,blue-collar,married,basic,no,no,yes
young adult,blue-collar,married,basic,no,no,no
Adult,technician,single,university degree,unknown,yes,no
Adult,blue-collar,married,basic,no,no,no
Adult,technician,married,basic,no,no,no
Adult,blue-collar,married,basic,no,no,yes
Adult,management,married,university degree,unknown,unknown,unknown
Adult,technician,married,high school,no,no,yes
Adult,technician,married,unknown,no,yes,no
Adult,blue-collar,married,basic,no,no,yes
Adult,services,married,high school,no,no,no
Adult,self-employed,single,university degree,no,yes,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,admin.,divorced,high school,no,no,no
Adult,self-employed,married,basic,unknown,no,no
Adult,technician,divorced,university degree,unknown,no,no
Adult,blue-collar,married,basic,unknown,yes,yes
Adult,admin.,married,university degree,no,no,yes
Adult,technician,married,professional course,no,yes,no
Adult,self-employed,divorced,basic,no,no,yes
Adult,services,married,high school,no,yes,no
Adult,management,divorced,high school,no,yes,no
Adult,housemaid,married,basic,unknown,no,no
Adult,admin.,divorced,high school,no,yes,no
Adult,blue-collar,married,basic,no,yes,no
Adult,entrepreneur,divorced,university degree,no,yes,no
Adult,management,married,high school,no,no,no
Adult,unknown,single,basic,unknown,yes,yes
Adult,retired,married,basic,unknown,yes,no
Adult,blue-collar,married,basic,no,yes,no
Adult,blue-collar,single,professional course,no,no,no
Adult,self-employed,single,university degree,unknown,yes,no
young adult,technician,married,professional course,no,yes,no
Adult,blue-collar,married,basic,no,yes,yes
Adult,blue-collar,married,basic,unknown,no,no
Adult,services,divorced,high school,no,yes,no
Adult,admin.,married,high school,unknown,yes,yes
Adult,services,single,basic,unknown,no,no
Adult,admin.,divorced,university degree,no,no,no
Adult,admin.,single,unknown,unknown,no,yes
Adult,student,single,university degree,no,no,no
Adult,self-employed,married,high school,unknown,no,no
young adult,technician,divorced,professional course,no,no,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,admin.,single,professional course,no,no,no
Adult,management,married,basic,unknown,yes,no
Adult,blue-collar,married,basic,no,yes,yes
Adult,management,single,high school,no,yes,no
Adult,admin.,single,high school,no,no,yes
Adult,technician,married,professional course,unknown,yes,yes
Adult,technician,married,university degree,no,yes,no
Adult,entrepreneur,married,basic,unknown,no,no
Adult,management,married,basic,unknown,no,no
Adult,blue-collar,divorced,basic,no,no,no
Adult,blue-collar,divorced,basic,no,no,no
Adult,admin.,married,high school,no,yes,no
Adult,services,married,unknown,unknown,yes,yes
Adult,retired,divorced,university degree,no,yes,no
young adult,services,single,high school,no,yes,no
Adult,technician,married,professional course,no,no,no
Adult,admin.,married,high school,no,yes,no
Adult,blue-collar,married,professional course,no,no,no
Adult,blue-collar,single,basic,no,yes,no
Adult,technician,married,unknown,no,yes,no
Adult,management,married,university degree,no,no,no
young adult,services,single,high school,no,yes,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,admin.,married,professional course,no,no,no
Adult,technician,married,professional course,no,unknown,unknown
Adult,admin.,divorced,university degree,no,no,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,retired,married,basic,unknown,yes,no
Adult,services,single,basic,no,yes,yes
Adult,blue-collar,married,basic,unknown,yes,yes
Adult,admin.,married,professional course,no,no,no
Adult,blue-collar,married,basic,no,no,no
Adult,services,divorced,high school,unknown,yes,no
Adult,services,divorced,basic,no,no,no
Adult,management,married,basic,unknown,no,no
Adult,services,married,basic,no,no,yes
Adult,technician,married,professional course,no,yes,no
Adult,blue-collar,married,basic,no,no,no
Adult,self-employed,single,high school,no,yes,no
Adult,management,married,university degree,unknown,yes,no
Adult,technician,single,university degree,unknown,yes,yes
Adult,blue-collar,married,basic,no,yes,yes
Adult,technician,married,basic,no,yes,no
Adult,services,married,high school,unknown,yes,yes
Adult,management,married,university degree,no,no,no
Adult,blue-collar,married,basic,no,yes,no
Adult,management,married,basic,no,unknown,unknown
Adult,student,single,high school,no,no,no
Adult,technician,married,professional course,no,yes,no
young adult,admin.,single,university degree,no,yes,no
Adult,housemaid,divorced,basic,no,no,no
Adult,admin.,single,university degree,unknown,yes,no
Adult,management,divorced,high school,no,unknown,unknown
Adult,blue-collar,married,basic,unknown,no,yes
Adult,student,single,basic,no,no,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,technician,married,university degree,no,no,no
Adult,blue-collar,married,unknown,no,yes,yes
Adult,blue-collar,married,basic,no,yes,no
Adult,blue-collar,married,basic,no,no,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,blue-collar,married,basic,unknown,yes,yes
Adult,services,married,basic,no,yes,no
Adult,services,divorced,high school,no,no,no
Adult,unknown,married,basic,no,yes,yes
Adult,blue-collar,married,basic,no,yes,no
Adult,blue-collar,married,basic,no,unknown,unknown
Adult,management,married,high school,unknown,no,no
Adult,housemaid,married,basic,no,no,no
Adult,blue-collar,married,basic,unknown,unknown,unknown
Adult,admin.,married,university degree,no,no,no
Adult,self-employed,married,university degree,no,no,yes
Adult,housemaid,married,university degree,no,no,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,self-employed,married,basic,unknown,no,no
